"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "Properties", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\Users\37127\Desktop\trubenieku_majaslapa\.env", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\37127\Desktop\trubenieku_majaslapa\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\37127\Desktop\trubenieku_majaslapa\package-lock.json", "JSON", 33532, 0, 0, 0, 0, 0, 0, 0, 1, 33533
"c:\Users\37127\Desktop\trubenieku_majaslapa\package.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\37127\Desktop\trubenieku_majaslapa\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\37127\Desktop\trubenieku_majaslapa\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\App.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 27, 102
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Ekskursija\Ekskursija.jsx", "JavaScript React", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\GalvenaLapa\GalvenaLapa.jsx", "JavaScript React", 0, 0, 0, 0, 0, 186, 0, 59, 4, 249
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\GalvenaLapa\style.css", "CSS", 0, 0, 0, 0, 0, 0, 55, 0, 13, 68
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\GalvenaLapa\styles.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Grozs\GrozaVieniba\GrozaVieniba.jsx", "JavaScript React", 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Grozs\GrozaVieniba\styles.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Grozs\Grozs.jsx", "JavaScript React", 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Grozs\styles.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Kontakti\Kontakti.jsx", "JavaScript React", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Navigacija\Navigacija.jsx", "JavaScript React", 0, 0, 0, 0, 0, 85, 0, 0, 5, 90
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Navigacija\styles.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 1, 2, 68
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\AdresesIevadforma.jsx", "JavaScript React", 0, 0, 0, 0, 0, 93, 0, 0, 15, 108
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\ApmaksasIevadforma.jsx", "JavaScript React", 0, 0, 0, 0, 0, 55, 0, 0, 12, 67
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\Kopsavilkums.jsx", "JavaScript React", 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\PashaAizpildamieLauki.jsx", "JavaScript React", 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\Pasutijums\Pasutijums.jsx", "JavaScript React", 0, 0, 0, 0, 0, 97, 0, 0, 19, 116
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\PasutijumaIevade\Pasutijums\styles.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Produkti\Produkti.jsx", "JavaScript React", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Produkti\Produkts\Produkts.jsx", "JavaScript React", 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Produkti\Produkts\styles.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\Produkti\styles.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\components\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"c:\Users\37127\Desktop\trubenieku_majaslapa\src\lib\commerce.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"Total", "-", 33616, 38, 312, 20, 2, 696, 55, 84, 181, 35004
